Time11,Voltage11,Time12,Voltage12,Time21,Voltage21,Time22,Voltage22,Power11,Power12,Power21,Power22
-2.279,12.079,-2.346,12.0607,-2.409,12.0607,-2.453,12.079,1.809549497,-0.5442254589,-0.1660155355,0.4651406253
-2.278,12.079,-2.345,12.0607,-2.408,12.0607,-2.452,12.079,-2.391164333,-0.5442254589,-0.1660155355,2.565437145
-2.277,12.079,-2.344,12.0607,-2.407,12.0607,-2.451,12.079,-0.2907470232,3.65012418,-0.1660155355,-1.635276685
-2.276,12.079,-2.343,12.0607,-2.406,12.0607,-2.45,12.079,-2.391164333,1.553009664,-0.1660155355,0.4651406253
-2.275,12.079,-2.342,12.0607,-2.405,12.0607,-2.449,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.274,12.079,-2.341,12.0607,-2.404,12.0607,-2.448,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.273,12.079,-2.34,12.0607,-2.403,12.0607,-2.447,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.272,12.079,-2.339,12.0607,-2.402,12.0607,-2.446,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.271,12.079,-2.338,12.0607,-2.401,12.0607,-2.445,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.27,12.079,-2.337,12.0607,-2.4,12.0607,-2.444,12.079,1.809549497,-0.5442254589,-0.1660155355,-1.635276685
-2.269,12.079,-2.336,12.0607,-2.399,12.0607,-2.443,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.268,12.079,-2.335,12.0607,-2.398,12.0607,-2.442,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.267,12.079,-2.334,12.0607,-2.397,12.0607,-2.441,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.266,12.079,-2.333,12.0607,-2.396,12.0607,-2.44,12.079,1.809549497,-0.5442254589,1.931219588,0.4651406253
-2.265,12.079,-2.332,12.0607,-2.395,12.0607,-2.439,12.079,-0.2907470232,1.553009664,-2.263130051,2.565437145
-2.264,12.079,-2.331,12.0607,-2.394,12.0607,-2.438,12.079,1.809549497,-0.5442254589,1.931219588,-1.635276685
-2.263,12.079,-2.33,12.0607,-2.393,12.0607,-2.437,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.262,12.079,-2.329,12.0607,-2.392,12.0607,-2.436,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.261,12.079,-2.328,12.0607,-2.391,12.0607,-2.435,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.26,12.079,-2.327,12.0607,-2.39,12.0607,-2.434,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.259,12.079,-2.326,12.0607,-2.389,12.0607,-2.433,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.258,12.079,-2.325,12.0607,-2.388,12.0607,-2.432,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.257,12.079,-2.324,12.0607,-2.387,12.0607,-2.431,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.256,12.079,-2.323,12.0607,-2.386,12.0607,-2.43,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.255,12.079,-2.322,12.0607,-2.385,12.0607,-2.429,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.254,12.079,-2.321,12.0607,-2.384,12.0607,-2.428,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.253,12.079,-2.32,12.0607,-2.383,12.0607,-2.427,12.079,1.809549497,-0.5442254589,-0.1660155355,0.4651406253
-2.252,12.079,-2.319,12.0607,-2.382,12.0607,-2.426,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.251,12.079,-2.318,12.0607,-2.381,12.0607,-2.425,12.079,1.809549497,-0.5442254589,-0.1660155355,0.4651406253
-2.25,12.079,-2.317,12.0607,-2.38,12.0607,-2.424,12.079,1.809549497,-0.5442254589,-0.1660155355,0.4651406253
-2.249,12.079,-2.316,12.0607,-2.379,12.0607,-2.423,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.248,12.079,-2.315,12.0607,-2.378,12.0607,-2.422,12.079,1.809549497,-0.5442254589,-0.1660155355,2.565437145
-2.247,12.079,-2.314,12.0607,-2.377,12.0607,-2.421,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.246,12.079,-2.313,12.0607,-2.376,12.0607,-2.42,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.245,12.079,-2.312,12.0607,-2.375,12.0607,-2.419,12.079,1.809549497,-0.5442254589,1.931219588,0.4651406253
-2.244,12.079,-2.311,12.0607,-2.374,12.0607,-2.418,12.079,1.809549497,-0.5442254589,-0.1660155355,0.4651406253
-2.243,12.079,-2.31,12.0607,-2.373,12.0607,-2.417,12.079,1.809549497,-0.5442254589,-0.1660155355,0.4651406253
-2.242,12.079,-2.309,12.0607,-2.372,12.0607,-2.416,12.079,1.809549497,-0.5442254589,-0.1660155355,2.565437145
-2.241,12.079,-2.308,12.0607,-2.371,12.0607,-2.415,12.079,1.809549497,-0.5442254589,-0.1660155355,0.4651406253
-2.24,12.079,-2.307,12.0607,-2.37,12.0607,-2.414,12.079,-0.2907470232,-0.5442254589,1.931219588,2.565437145
-2.239,12.079,-2.306,12.0607,-2.369,12.0607,-2.413,12.079,-0.2907470232,-0.5442254589,1.931219588,0.4651406253
-2.238,12.079,-2.305,12.0607,-2.368,12.0607,-2.412,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.237,12.079,-2.304,12.0607,-2.367,12.0607,-2.411,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.236,12.079,-2.303,12.0607,-2.366,12.0607,-2.41,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.235,12.079,-2.302,12.0607,-2.365,12.0607,-2.409,12.079,3.909966807,-0.5442254589,-0.1660155355,0.4651406253
-2.234,12.079,-2.301,12.0607,-2.364,12.0607,-2.408,12.079,-0.2907470232,1.553009664,-0.1660155355,0.4651406253
-2.233,12.079,-2.3,12.0607,-2.363,12.0607,-2.407,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.232,12.079,-2.299,12.0607,-2.362,12.0607,-2.406,12.079,3.909966807,-0.5442254589,-0.1660155355,-1.635276685
-2.231,12.079,-2.298,12.0607,-2.361,12.0607,-2.405,12.079,1.809549497,-0.5442254589,1.931219588,-1.635276685
-2.23,12.079,-2.297,12.0607,-2.36,12.0607,-2.404,12.079,3.909966807,-0.5442254589,-0.1660155355,2.565437145
-2.229,12.079,-2.296,12.0607,-2.359,12.0607,-2.403,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.228,12.079,-2.295,12.0607,-2.358,12.0607,-2.402,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.227,12.079,-2.294,12.0607,-2.357,12.0607,-2.401,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.226,12.079,-2.293,12.0607,-2.356,12.0607,-2.4,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.225,12.079,-2.292,12.0607,-2.355,12.0607,-2.399,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.224,12.079,-2.291,12.0607,-2.354,12.0607,-2.398,12.079,1.809549497,3.65012418,-0.1660155355,-1.635276685
-2.223,12.079,-2.29,12.0607,-2.353,12.0607,-2.397,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.222,12.079,-2.289,12.0607,-2.352,12.0607,-2.396,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.221,12.079,-2.288,12.0607,-2.351,12.0607,-2.395,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.22,12.079,-2.287,12.0607,-2.35,12.0607,-2.394,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.219,12.079,-2.286,12.0607,-2.349,12.0607,-2.393,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.218,12.079,-2.285,12.0607,-2.348,12.0607,-2.392,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.217,12.079,-2.284,12.0607,-2.347,12.0607,-2.391,12.079,-0.2907470232,-0.5442254589,1.931219588,0.4651406253
-2.216,12.079,-2.283,12.0607,-2.346,12.0607,-2.39,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.215,12.079,-2.282,12.0607,-2.345,12.0607,-2.389,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.214,12.079,-2.281,12.0607,-2.344,12.0607,-2.388,12.079,-0.2907470232,1.553009664,-0.1660155355,0.4651406253
-2.213,12.079,-2.28,12.0607,-2.343,12.0607,-2.387,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.212,12.079,-2.279,12.0607,-2.342,12.0607,-2.386,12.079,-0.2907470232,-0.5442254589,1.931219588,0.4651406253
-2.211,12.079,-2.278,12.0607,-2.341,12.0607,-2.385,12.079,-0.2907470232,-0.5442254589,1.931219588,0.4651406253
-2.21,12.079,-2.277,12.0607,-2.34,12.0607,-2.384,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.209,12.079,-2.276,12.0607,-2.339,12.0607,-2.383,12.079,-0.2907470232,-0.5442254589,1.931219588,0.4651406253
-2.208,12.079,-2.275,12.0607,-2.338,12.0607,-2.382,12.079,1.809549497,-0.5442254589,-0.1660155355,0.4651406253
-2.207,12.079,-2.274,12.0607,-2.337,12.0607,-2.381,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.206,12.079,-2.273,12.0607,-2.336,12.0607,-2.38,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.205,12.079,-2.272,12.0607,-2.335,12.0607,-2.379,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.204,12.079,-2.271,12.0607,-2.334,12.0607,-2.378,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.203,12.079,-2.27,12.0607,-2.333,12.0607,-2.377,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.202,12.079,-2.269,12.0607,-2.332,12.0607,-2.376,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.201,12.079,-2.268,12.0607,-2.331,12.0607,-2.375,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.2,12.079,-2.267,12.0607,-2.33,12.0607,-2.374,12.079,-0.2907470232,-0.5442254589,1.931219588,0.4651406253
-2.199,12.079,-2.266,12.0607,-2.329,12.0607,-2.373,12.079,-0.2907470232,-0.5442254589,1.931219588,0.4651406253
-2.198,12.079,-2.265,12.0607,-2.328,12.0607,-2.372,12.079,-0.2907470232,-0.5442254589,4.028334104,0.4651406253
-2.197,12.079,-2.264,12.0607,-2.327,12.0607,-2.371,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.196,12.079,-2.263,12.0607,-2.326,12.0607,-2.37,12.079,-0.2907470232,-0.5442254589,1.931219588,-1.635276685
-2.195,12.079,-2.262,12.0607,-2.325,12.0607,-2.369,12.079,-0.2907470232,1.553009664,1.931219588,-1.635276685
-2.194,12.079,-2.261,12.0607,-2.324,12.0607,-2.368,12.079,3.909966807,1.553009664,1.931219588,0.4651406253
-2.193,12.079,-2.26,12.0607,-2.323,12.0607,-2.367,12.079,-0.2907470232,1.553009664,1.931219588,0.4651406253
-2.192,12.079,-2.259,12.0607,-2.322,12.0607,-2.366,12.079,1.809549497,1.553009664,-2.263130051,0.4651406253
-2.191,12.079,-2.258,12.0607,-2.321,12.0607,-2.365,12.079,-0.2907470232,1.553009664,1.931219588,2.565437145
-2.19,12.079,-2.257,12.0607,-2.32,12.0607,-2.364,12.079,-0.2907470232,1.553009664,-0.1660155355,2.565437145
-2.189,12.079,-2.256,12.0607,-2.319,12.0607,-2.363,12.079,-0.2907470232,1.553009664,-0.1660155355,0.4651406253
-2.188,12.079,-2.255,12.0607,-2.318,12.0607,-2.362,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.187,12.079,-2.254,12.0607,-2.317,12.0607,-2.361,12.079,-0.2907470232,3.65012418,1.931219588,0.4651406253
-2.186,12.079,-2.253,12.0607,-2.316,12.0607,-2.36,12.079,-0.2907470232,1.553009664,4.028334104,0.4651406253
-2.185,12.079,-2.252,12.0607,-2.315,12.0607,-2.359,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.184,12.079,-2.251,12.0607,-2.314,12.0607,-2.358,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.183,12.079,-2.25,12.0607,-2.313,12.0607,-2.357,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.182,12.079,-2.249,12.0607,-2.312,12.0607,-2.356,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.181,12.079,-2.248,12.0607,-2.311,12.0607,-2.355,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.18,12.079,-2.247,12.0607,-2.31,12.0607,-2.354,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.179,12.079,-2.246,12.0607,-2.309,12.0607,-2.353,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.178,12.079,-2.245,12.0607,-2.308,12.0607,-2.352,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.177,12.079,-2.244,12.0607,-2.307,12.0607,-2.351,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.176,12.079,-2.243,12.0607,-2.306,12.0607,-2.35,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.175,12.079,-2.242,12.0607,-2.305,12.0607,-2.349,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.174,12.079,-2.241,12.0607,-2.304,12.0607,-2.348,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.173,12.079,-2.24,12.0607,-2.303,12.0607,-2.347,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.172,12.079,-2.239,12.0607,-2.302,12.0607,-2.346,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.171,12.079,-2.238,12.0607,-2.301,12.0607,-2.345,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.17,12.079,-2.237,12.0607,-2.3,12.0607,-2.344,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.169,12.079,-2.236,12.0607,-2.299,12.0607,-2.343,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.168,12.079,-2.235,12.0607,-2.298,12.0607,-2.342,12.079,-0.2907470232,-0.5442254589,1.931219588,0.4651406253
-2.167,12.079,-2.234,12.0607,-2.297,12.0607,-2.341,12.079,-0.2907470232,-0.5442254589,1.931219588,-1.635276685
-2.166,12.079,-2.233,12.0607,-2.296,12.0607,-2.34,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.165,12.079,-2.232,12.0607,-2.295,12.0607,-2.339,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.164,12.079,-2.231,12.0607,-2.294,12.0607,-2.338,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.163,12.079,-2.23,12.0607,-2.293,12.0607,-2.337,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.162,12.079,-2.229,12.0607,-2.292,12.0607,-2.336,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.161,12.079,-2.228,12.0607,-2.291,12.0607,-2.335,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.16,12.079,-2.227,12.0607,-2.29,12.0607,-2.334,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.159,12.079,-2.226,12.0607,-2.289,12.0607,-2.333,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.158,12.079,-2.225,12.0607,-2.288,12.0607,-2.332,12.079,-0.2907470232,-0.5442254589,1.931219588,0.4651406253
-2.157,12.079,-2.224,12.0607,-2.287,12.0607,-2.331,12.079,-0.2907470232,-0.5442254589,1.931219588,0.4651406253
-2.156,12.079,-2.223,12.0607,-2.286,12.0607,-2.33,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.155,12.079,-2.222,12.0607,-2.285,12.0607,-2.329,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.154,12.079,-2.221,12.0607,-2.284,12.0607,-2.328,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.153,12.079,-2.22,12.0607,-2.283,12.0607,-2.327,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.152,12.079,-2.219,12.0607,-2.282,12.0607,-2.326,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.151,12.079,-2.218,12.0607,-2.281,12.0607,-2.325,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.15,12.079,-2.217,12.0607,-2.28,12.0607,-2.324,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.149,12.079,-2.216,12.0607,-2.279,12.0607,-2.323,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.148,12.079,-2.215,12.0607,-2.278,12.0607,-2.322,12.079,-0.2907470232,3.65012418,-0.1660155355,0.4651406253
-2.147,12.079,-2.214,12.0607,-2.277,12.0607,-2.321,12.079,-0.2907470232,3.65012418,-0.1660155355,2.565437145
-2.146,12.079,-2.213,12.0607,-2.276,12.0607,-2.32,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.145,12.079,-2.212,12.0607,-2.275,12.0607,-2.319,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.144,12.079,-2.211,12.0607,-2.274,12.0607,-2.318,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.143,12.079,-2.21,12.0607,-2.273,12.0607,-2.317,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.142,12.079,-2.209,12.0607,-2.272,12.0607,-2.316,12.079,-0.2907470232,-0.5442254589,1.931219588,2.565437145
-2.141,12.079,-2.208,12.0607,-2.271,12.0607,-2.315,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.14,12.079,-2.207,12.0607,-2.27,12.0607,-2.314,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.139,12.079,-2.206,12.0607,-2.269,12.0607,-2.313,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.138,12.079,-2.205,12.0607,-2.268,12.0607,-2.312,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.137,12.079,-2.204,12.0607,-2.267,12.0607,-2.311,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.136,12.079,-2.203,12.0607,-2.266,12.0607,-2.31,12.079,3.909966807,-0.5442254589,-0.1660155355,-1.635276685
-2.135,12.079,-2.202,12.0607,-2.265,12.0607,-2.309,12.079,1.809549497,-0.5442254589,-0.1660155355,-1.635276685
-2.134,12.079,-2.201,12.0607,-2.264,12.0607,-2.308,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.133,12.079,-2.2,12.0607,-2.263,12.0607,-2.307,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.132,12.079,-2.199,12.0607,-2.262,12.0607,-2.306,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.131,12.079,-2.198,12.0607,-2.261,12.0607,-2.305,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.13,12.079,-2.197,12.0607,-2.26,12.0607,-2.304,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.129,12.079,-2.196,12.0607,-2.259,12.0607,-2.303,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.128,12.079,-2.195,12.0607,-2.258,12.0607,-2.302,12.079,-0.2907470232,3.65012418,-0.1660155355,-1.635276685
-2.127,12.079,-2.194,12.0607,-2.257,12.0607,-2.301,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.126,12.079,-2.193,12.0607,-2.256,12.0607,-2.3,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.125,12.079,-2.192,12.0607,-2.255,12.0607,-2.299,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.124,12.079,-2.191,12.0607,-2.254,12.0607,-2.298,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.123,12.079,-2.19,12.0607,-2.253,12.0607,-2.297,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-2.122,12.079,-2.189,12.0607,-2.252,12.0607,-2.296,12.079,-0.2907470232,1.553009664,-0.1660155355,2.565437145
-2.121,12.079,-2.188,12.0607,-2.251,12.0607,-2.295,12.079,3.909966807,1.553009664,-0.1660155355,-1.635276685
-2.12,12.079,-2.187,12.0607,-2.25,12.0607,-2.294,12.079,-0.2907470232,1.553009664,-0.1660155355,-1.635276685
-2.119,12.079,-2.186,12.0607,-2.249,12.0607,-2.293,12.079,-0.2907470232,3.65012418,-0.1660155355,-1.635276685
-2.118,12.079,-2.185,12.0607,-2.248,12.0607,-2.292,12.079,-0.2907470232,-0.5442254589,-0.1660155355,2.565437145
-2.117,12.079,-2.184,12.0607,-2.247,12.0607,-2.291,12.079,-0.2907470232,3.65012418,-0.1660155355,0.4651406253
-2.116,12.079,-2.183,12.0607,-2.246,12.0607,-2.29,12.079,-0.2907470232,3.65012418,-0.1660155355,2.565437145
-2.115,12.079,-2.182,12.0607,-2.245,12.0607,-2.289,12.079,1.809549497,-0.5442254589,-0.1660155355,-1.635276685
-2.114,12.079,-2.181,12.0607,-2.244,12.0607,-2.288,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.113,12.079,-2.18,12.0607,-2.243,12.0607,-2.287,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.112,12.079,-2.179,12.0607,-2.242,12.0607,-2.286,12.079,-0.2907470232,3.65012418,-0.1660155355,-1.635276685
-2.111,12.079,-2.178,12.0607,-2.241,12.0607,-2.285,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.11,12.079,-2.177,12.0607,-2.24,12.0607,-2.284,12.079,-0.2907470232,3.65012418,-0.1660155355,-1.635276685
-2.109,12.079,-2.176,12.0607,-2.239,12.0607,-2.283,12.079,-0.2907470232,1.553009664,-0.1660155355,-1.635276685
-2.108,12.079,-2.175,12.0607,-2.238,12.0607,-2.282,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.107,12.079,-2.174,12.0607,-2.237,12.0607,-2.281,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.106,12.079,-2.173,12.0607,-2.236,12.0607,-2.28,12.079,-0.2907470232,3.65012418,-0.1660155355,0.4651406253
-2.105,12.079,-2.172,12.0607,-2.235,12.0607,-2.279,12.079,-0.2907470232,1.553009664,-0.1660155355,-1.635276685
-2.104,12.079,-2.171,12.0607,-2.234,12.0607,-2.278,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.103,12.079,-2.17,12.0607,-2.233,12.0607,-2.277,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.102,12.079,-2.169,12.0607,-2.232,12.0607,-2.276,12.079,-0.2907470232,1.553009664,-0.1660155355,-1.635276685
-2.101,12.079,-2.168,12.0607,-2.231,12.0607,-2.275,12.079,1.809549497,-0.5442254589,-0.1660155355,-1.635276685
-2.1,12.079,-2.167,12.0607,-2.23,12.0607,-2.274,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.099,12.079,-2.166,12.0607,-2.229,12.0607,-2.273,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.098,12.079,-2.165,12.0607,-2.228,12.0607,-2.272,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-2.097,12.079,-2.164,12.0607,-2.227,12.0607,-2.271,12.079,-0.2907470232,1.553009664,-0.1660155355,-1.635276685
-2.096,12.079,-2.163,12.0607,-2.226,12.0607,-2.27,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
